epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.58,3.21034,5.54839,3.90608,0.83655,0.11111,0.09893,0.02684,2.66337,5.43126,3.55614,0.00036857,0.00036857,0.00036857
2,238.621,2.77435,3.01,2.88681,0.32895,0.15109,0.08798,0.02242,2.4096,3.177,2.85184,0.000714519,0.000714519,0.000714519
3,357.029,2.49849,2.47773,2.52861,0.91751,0.15123,0.17705,0.06367,2.29104,2.47024,2.7442,0.00103603,0.00103603,0.00103603
4,475.803,2.35762,2.2236,2.33039,0.94393,0.16667,0.23104,0.09253,2.19317,2.41342,2.61851,0.00100101,0.00100101,0.00100101
5,594.912,2.23231,2.04674,2.15123,0.74985,0.21196,0.24225,0.09306,2.13601,2.0645,2.55572,0.000964348,0.000964348,0.000964348
6,714.332,2.12758,1.94904,2.08447,0.81565,0.25327,0.32018,0.12977,2.06117,1.77012,2.40254,0.000927685,0.000927685,0.000927685
7,833.08,2.05821,1.83361,2.0068,0.96157,0.19136,0.25144,0.12517,1.86039,1.92423,2.37296,0.000891022,0.000891022,0.000891022
8,951.618,2.03192,1.78626,1.95989,0.7358,0.25403,0.25631,0.13153,1.79712,1.5746,2.32798,0.000854359,0.000854359,0.000854359
9,1070.32,1.96172,1.72399,1.90291,0.69548,0.2343,0.31694,0.11932,2.03226,1.75664,2.41883,0.000817696,0.000817696,0.000817696
10,1189.13,1.94449,1.70313,1.89649,0.74652,0.23929,0.2452,0.11023,1.91357,1.6453,2.41985,0.000781033,0.000781033,0.000781033
11,1307.88,1.88632,1.63541,1.86019,0.95951,0.20763,0.32358,0.16195,1.71037,1.58533,2.17936,0.00074437,0.00074437,0.00074437
12,1426.65,1.89042,1.59984,1.84335,0.75123,0.26653,0.33329,0.16299,1.94354,1.51508,2.3976,0.000707707,0.000707707,0.000707707
13,1545.45,1.82084,1.54191,1.79559,0.76217,0.28031,0.35029,0.21264,1.72347,1.76992,2.20341,0.000671044,0.000671044,0.000671044
14,1664.38,1.80475,1.49775,1.76937,0.82225,0.21151,0.2776,0.15123,1.60357,1.53671,2.13413,0.000634381,0.000634381,0.000634381
15,1782.95,1.77644,1.47954,1.75484,0.96398,0.2037,0.28753,0.14917,1.77635,1.43984,2.25805,0.000597718,0.000597718,0.000597718
16,1901.49,1.77161,1.46587,1.74401,0.73386,0.2618,0.31575,0.18744,1.56194,1.50675,2.02552,0.000561055,0.000561055,0.000561055
17,2020.29,1.71287,1.39307,1.69855,0.82143,0.24546,0.30328,0.16791,1.54016,1.36589,2.03816,0.000524392,0.000524392,0.000524392
18,2138.89,1.72117,1.40623,1.71438,0.62809,0.43246,0.38848,0.2036,1.58473,1.29066,2.09949,0.000487729,0.000487729,0.000487729
19,2257.46,1.69131,1.37248,1.69789,0.79075,0.30758,0.3367,0.19039,1.51141,1.28309,1.99524,0.000451066,0.000451066,0.000451066
20,2375.94,1.64418,1.33659,1.66202,0.52574,0.43429,0.37992,0.19759,1.50672,1.24316,1.99865,0.000414403,0.000414403,0.000414403
21,2508.73,1.68726,1.32146,1.72385,0.65647,0.36456,0.44328,0.24337,1.49339,1.33811,2.0252,0.00037774,0.00037774,0.00037774
22,2627.42,1.66109,1.27364,1.72443,0.57633,0.41894,0.39822,0.23174,1.53679,1.27645,2.03332,0.000341077,0.000341077,0.000341077
23,2746.01,1.61404,1.25534,1.676,0.54949,0.38791,0.31731,0.1841,1.46633,1.35834,1.96127,0.000304414,0.000304414,0.000304414
24,2864.39,1.60345,1.23184,1.6603,0.84012,0.27969,0.34969,0.20596,1.41365,1.19751,1.94484,0.000267751,0.000267751,0.000267751
25,2982.77,1.5783,1.20266,1.64743,0.86761,0.27914,0.3535,0.20503,1.4255,1.19246,1.96036,0.000231088,0.000231088,0.000231088
26,3101.88,1.55948,1.19236,1.62286,0.24382,0.41778,0.38158,0.23043,1.42339,1.18437,1.96,0.000194425,0.000194425,0.000194425
27,3221.07,1.53876,1.15628,1.61804,0.52325,0.28531,0.32517,0.19042,1.49795,1.28084,1.96244,0.000157762,0.000157762,0.000157762
28,3340.31,1.50753,1.13985,1.60191,0.26767,0.41021,0.35086,0.20684,1.47165,1.20851,1.96278,0.000121099,0.000121099,0.000121099
29,3459.32,1.49377,1.11255,1.59567,0.80704,0.2692,0.33438,0.20121,1.43512,1.23469,1.93464,8.4436e-05,8.4436e-05,8.4436e-05
30,3578.22,1.4792,1.09124,1.58043,0.54068,0.28076,0.33409,0.19476,1.43515,1.1919,1.95919,4.7773e-05,4.7773e-05,4.7773e-05
