epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.08,3.21968,5.18563,3.87038,0.00034,0.18691,0.01164,0.0031,2.85384,5.55085,4.44611,0.00036857,0.00036857,0.00036857
2,241.007,2.68376,2.88814,2.90383,0.64773,0.20507,0.16049,0.05376,2.38003,2.69298,2.87846,0.000714519,0.000714519,0.000714519
3,361.146,2.40842,2.39992,2.57512,0.87586,0.15123,0.16032,0.04552,2.39275,2.70988,3.00753,0.00103603,0.00103603,0.00103603
4,480.737,2.23903,2.1749,2.34642,0.72183,0.22313,0.25667,0.11155,2.01821,2.02171,2.59593,0.00100101,0.00100101,0.00100101
5,600.986,2.16397,2.0391,2.23024,0.75619,0.22504,0.28328,0.13555,1.86221,1.7772,2.4266,0.000964348,0.000964348,0.000964348
6,720.953,2.03465,1.91914,2.10707,0.74129,0.25635,0.26929,0.12047,1.84525,1.97284,2.34427,0.000927685,0.000927685,0.000927685
7,841.23,1.9718,1.81962,2.02603,0.96065,0.19444,0.25614,0.14192,1.62562,1.83032,2.25138,0.000891022,0.000891022,0.000891022
8,960.838,1.96005,1.74649,1.98639,0.73204,0.29766,0.28167,0.14845,1.63437,1.60925,2.21377,0.000854359,0.000854359,0.000854359
9,1080.02,1.88156,1.66981,1.92004,0.75975,0.26798,0.27724,0.13835,1.75645,1.55581,2.29351,0.000817696,0.000817696,0.000817696
10,1199.05,1.85884,1.66886,1.89576,0.75952,0.26902,0.27587,0.15337,1.54552,1.57527,2.07554,0.000781033,0.000781033,0.000781033
11,1318.3,1.81245,1.59137,1.85564,0.70817,0.26089,0.36882,0.17509,1.54338,1.49006,2.08033,0.00074437,0.00074437,0.00074437
12,1437.6,1.80579,1.56981,1.85534,0.79273,0.22504,0.28384,0.13419,1.79295,1.5748,2.26554,0.000707707,0.000707707,0.000707707
13,1557,1.74918,1.50861,1.79247,0.7742,0.28706,0.33163,0.17321,1.62412,1.53435,2.14211,0.000671044,0.000671044,0.000671044
14,1675.7,1.73728,1.44964,1.78212,0.72839,0.30075,0.2922,0.17374,1.42465,1.35816,2.00535,0.000634381,0.000634381,0.000634381
15,1795.81,1.70416,1.43503,1.74434,0.80238,0.27682,0.31727,0.18164,1.54966,1.39243,2.07656,0.000597718,0.000597718,0.000597718
16,1915.22,1.71397,1.43525,1.75541,0.74825,0.31138,0.32828,0.19095,1.43347,1.35209,1.97351,0.000561055,0.000561055,0.000561055
17,2034.64,1.6598,1.373,1.70916,0.82733,0.25163,0.3839,0.21169,1.52915,1.35626,2.05265,0.000524392,0.000524392,0.000524392
18,2154.13,1.66066,1.37223,1.70997,0.83187,0.28171,0.39427,0.20547,1.59101,1.29044,2.10578,0.000487729,0.000487729,0.000487729
19,2273.15,1.62706,1.33967,1.69558,0.85538,0.30002,0.37406,0.20815,1.41566,1.22891,1.96016,0.000451066,0.000451066,0.000451066
20,2392.3,1.58768,1.31672,1.65919,0.79314,0.28434,0.32988,0.1856,1.39125,1.26425,1.96601,0.000414403,0.000414403,0.000414403
21,2525.35,1.62685,1.29199,1.72294,0.82082,0.29232,0.34104,0.19673,1.4264,1.3288,1.99534,0.00037774,0.00037774,0.00037774
22,2644.06,1.60711,1.25682,1.71675,0.77638,0.31236,0.33836,0.18689,1.51255,1.29055,2.08004,0.000341077,0.000341077,0.000341077
23,2763.35,1.58015,1.22426,1.68045,0.80235,0.28782,0.33442,0.19668,1.35494,1.19523,1.92311,0.000304414,0.000304414,0.000304414
24,2882.64,1.55323,1.21648,1.66392,0.80928,0.27914,0.32031,0.18943,1.41286,1.18992,1.96024,0.000267751,0.000267751,0.000267751
25,3001.29,1.54417,1.18683,1.65206,0.79005,0.30192,0.34338,0.20685,1.36829,1.10387,1.92056,0.000231088,0.000231088,0.000231088
26,3120.53,1.5079,1.16149,1.62159,0.78031,0.30192,0.40736,0.24328,1.34822,1.16146,1.92776,0.000194425,0.000194425,0.000194425
27,3239.98,1.48267,1.12877,1.60934,0.23219,0.44563,0.32546,0.19335,1.37561,1.16359,1.92689,0.000157762,0.000157762,0.000157762
28,3359.42,1.45748,1.1085,1.59836,0.51815,0.42202,0.33172,0.19504,1.36362,1.17378,1.92611,0.000121099,0.000121099,0.000121099
29,3478.72,1.42301,1.08332,1.5797,0.59777,0.27914,0.33965,0.2044,1.31485,1.10838,1.88724,8.4436e-05,8.4436e-05,8.4436e-05
30,3598.1,1.41174,1.04574,1.56417,0.59926,0.27914,0.34706,0.20441,1.33803,1.10132,1.92716,4.7773e-05,4.7773e-05,4.7773e-05
