epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.4245,3.11188,3.19311,2.92593,0.29022,0.00735,0.0112,0.00222,3.65392,4.939,3.41858,0.00331746,0.00331746,0.0701429
2,99.7835,2.61008,2.40838,2.37407,0.01646,0.03676,0.01478,0.00276,2.61412,4.29188,2.57111,0.00643132,0.00643132,0.0399234
3,148.447,2.43575,2.25951,2.2829,0.83024,0.1821,0.15231,0.05243,2.36285,7.71524,2.6478,0.00932517,0.00932517,0.0094839
4,197.134,2.34009,2.15533,2.22538,0.68114,0.17775,0.14816,0.04742,2.50574,2.33784,2.81152,0.00901,0.00901,0.00901
5,245.639,2.29324,2.02475,2.16174,0.21511,0.1555,0.16214,0.05271,2.26612,3.9864,2.43908,0.00868,0.00868,0.00868
6,294.421,2.20594,1.98385,2.12956,0.63149,0.16095,0.1364,0.04567,2.19631,2.95366,2.60129,0.00835,0.00835,0.00835
7,342.86,2.12491,1.89824,2.04872,0.76989,0.23194,0.32573,0.14877,1.82156,1.60564,2.3482,0.00802,0.00802,0.00802
8,391.625,2.11946,1.87266,2.03106,0.73949,0.21224,0.2105,0.07711,2.24299,2.1269,2.58064,0.00769,0.00769,0.00769
9,440.324,2.09062,1.83925,2.02077,0.75272,0.26988,0.30154,0.14034,1.94772,1.68815,2.31571,0.00736,0.00736,0.00736
10,489.384,2.00614,1.77947,1.95272,0.76209,0.27224,0.23579,0.10818,2.06084,1.92245,2.42555,0.00703,0.00703,0.00703
11,537.97,1.97772,1.70415,1.93746,0.81187,0.25826,0.30023,0.14099,1.88075,1.92062,2.40994,0.0067,0.0067,0.0067
12,586.769,1.95755,1.68732,1.89808,0.691,0.22195,0.27851,0.12402,2.14554,2.06873,2.37832,0.00637,0.00637,0.00637
13,635.545,1.89376,1.62706,1.86403,0.48119,0.25899,0.25562,0.12449,1.84497,1.72071,2.25798,0.00604,0.00604,0.00604
14,684.29,1.87676,1.59259,1.83286,0.79136,0.24592,0.32088,0.13731,1.78493,1.72109,2.23383,0.00571,0.00571,0.00571
15,732.921,1.83837,1.55875,1.8018,0.75106,0.31046,0.37955,0.18439,1.70171,1.40923,2.17549,0.00538,0.00538,0.00538
16,781.689,1.85775,1.55601,1.78999,0.7258,0.24119,0.33295,0.16,1.88237,3.72838,2.28647,0.00505,0.00505,0.00505
17,830.358,1.78011,1.50322,1.75383,0.75469,0.26797,0.30259,0.17385,1.63273,1.43231,2.03306,0.00472,0.00472,0.00472
18,878.872,1.79081,1.47923,1.75605,0.77326,0.26752,0.31499,0.14945,1.68351,1.7343,2.08491,0.00439,0.00439,0.00439
19,927.398,1.75722,1.45738,1.75035,0.77129,0.28413,0.29856,0.1551,1.68246,1.45015,2.11589,0.00406,0.00406,0.00406
20,976.19,1.72972,1.44564,1.70247,0.80827,0.28479,0.39892,0.18787,1.55625,1.43202,1.98752,0.00373,0.00373,0.00373
21,1037.92,1.77664,1.45605,1.81586,0.74419,0.28118,0.3071,0.17231,1.4685,1.32716,1.9567,0.0034,0.0034,0.0034
22,1087.99,1.74368,1.41691,1.80546,0.75652,0.2884,0.32365,0.17578,1.59527,1.31323,2.01998,0.00307,0.00307,0.00307
23,1136.52,1.72629,1.37737,1.75533,0.7554,0.26325,0.37638,0.23902,1.40924,1.29201,1.82504,0.00274,0.00274,0.00274
24,1184.98,1.69214,1.33638,1.74106,0.77002,0.32042,0.3365,0.18403,1.54471,1.26149,1.94424,0.00241,0.00241,0.00241
25,1233.69,1.66891,1.32666,1.72562,0.89832,0.24199,0.32305,0.17855,1.45458,1.2226,1.84861,0.00208,0.00208,0.00208
26,1282.36,1.6628,1.29794,1.70041,0.76359,0.28531,0.29678,0.16766,1.60383,1.29552,2.01621,0.00175,0.00175,0.00175
27,1331.19,1.63961,1.26335,1.69556,0.74863,0.32603,0.30264,0.1717,1.44399,1.15838,1.90635,0.00142,0.00142,0.00142
28,1379.93,1.61898,1.23951,1.6783,0.80446,0.30664,0.35698,0.1928,1.44313,1.28617,1.85048,0.00109,0.00109,0.00109
29,1428.7,1.58048,1.20789,1.66185,0.77758,0.30318,0.31227,0.17694,1.4376,1.26652,1.82982,0.00076,0.00076,0.00076
30,1477.41,1.58113,1.19409,1.6487,0.81661,0.30659,0.32492,0.18362,1.41927,1.16748,1.83769,0.00043,0.00043,0.00043
